"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNO";"PROD_ID";
"C1";"220n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C2";"220n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"220n";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C4";"2.2n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C5";"2.2n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C6";"6.8nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C7";"120pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C8";"22nF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C9";"100uF";"CAP_POL3528-KIT";"EIA3528-KIT";"Capacitor Polarized";"";"";"";"";"";"";
"C10";"100nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C11";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C12";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C13";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C14";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C15";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C16";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C17";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C18";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C19";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C20";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C21";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C22";"15u,100V";"C-EUC2220K";"C2220K";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C23";"10u,50V";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C24";"15u,100V";"C-EUC2220K";"C2220K";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C25";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C26";"100uF";"CAP_POL3528-KIT";"EIA3528-KIT";"Capacitor Polarized";"";"";"";"";"";"";
"C27";"2.2u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
